pos	qty	query
1	2	Bosch Professional GBH 2-26 F Bohrhammer
2	6	Niedax WRL 200.400 F Weitspannkabelrinne feuerverzinkt
3	24	OBO Bettermann ASM-C6A G Anschlussmodul CAT 6A geschirmt
4	100	OBO Bettermann KSA-S40 Kabelschelle
5	1	Fluke 1674FC SCH Installationstester
6	3	Sony WH-1000XM5 Bluetooth Noise-Cancelling Kopfhoerer
7	6	Siemens 5SV1316-6KK16 FI/LS-Schalter 6kA Typ A 30mA B16
8	2	Gira 503800 Schalt-/Jalousieaktor 16fach 16A REG
9	4	Merten MEG6921-0001 KNX Stellantrieb
10	2	ABB LK/S4.2 Linienkoppler KNX
11	1	Ideal Standard Ceraplan Kuechenarmatur Ausladung 219 mm Chrom
12	1	Wilo Stratos MAXO 30/0,5-10 PN10 Nasslaeufer-Pumpe G2
13	2	Stiebel Eltron SNU 5 Plus Kleinspeicher 5 Liter 2 kW 230 V
14	3	MEPA ellipse Betaetigungsplatte 2-Mengen Chrom glaenzend
15	4	Multipower MP26-12 Bleiakku 12 V 26 Ah
16	50	Leitz Qualitaetsordner 180 Grad A4 grau
17	30	Leitz Qualitaetsordner 180 Grad A4 grau
18	20	Staedtler Noris Bleistift HB 12er Set
19	8	HP 301 Tintenpatrone Combo Pack schwarz + farbig
20	1	Bosch MUM5 Styline Kuechenmaschine MUM58720
21	6	Miele Ultraphase Waschmittel 2-Komponenten Fluessig
22	1	Gardena PowerMax 1200/32 Elektro-Rasenmaeher
23	2	Nike Air Force 1 '07 Triple White Groesse 42
24	6	Chateau Margaux 2015 Bordeaux Premier Grand Cru Classe
25	3	LEGO Technic 42131 Cat D11 Bulldozer ferngesteuert
