Position;Artikel;Menge;Status;Guenstigster_Haendler;Einzel_EUR;Gesamt_EUR;Confidence;Outlier;Min_EUR;Median_EUR;Max_EUR;Haendler_Anzahl;Anmerkung
Pos 1;Bosch Professional GBH 2-26 F Bohrhammer;2;success;guenstiger.de;154,99;309,98;high;NEIN;154,99;154,99;154,99;4;Marktpreis vollstaendig konsolidiert – alle 4 Haendler identisch
Pos 2;Niedax WRL 200.400 F Weitspannkabelrinne feuerverzinkt;6;success;tandmore.de;228,71;1372,26;high;AUSREISSER: Amazon.de 46,90 EUR (falsche Mengeneinheit);228,71;532,55;891,41;3;elektro4000.de-Angebot ist Deckel (STD) nicht Rinne – manuell pruefen
Pos 3;OBO Bettermann ASM-C6A G Anschlussmodul CAT 6A geschirmt;24;success;ams-elektro.com;6,90;165,60;exact;PRODUKTZUORDNUNG UNSICHER;6,90;7,84;11,50;4;EAN-Crossmatch lieferte abweichende Artikel (DTS-2C-RW1) – vor Bestellung verifizieren
Pos 4;OBO Bettermann KSA-S40 Kabelschelle;100;success;elektro-wandelt.de;8,53;853,00;exact;AUSREISSER: Reichelt 0,60 EUR (anderes Produkt);8,53;11,98;23,00;3;Modell 1594-22-G ≠ KSA-S40 – direkte Anfrage OBO Bettermann empfohlen
Pos 5;Fluke 1674FC SCH Installationstester;1;success;Amazon.de;2768,07;2768,07;high;AUSREISSER: Conrad 139,00 EUR (Bundle-SKU 1630/FTT);2768,07;3182,00;3786,58;3;RS Online bestaetigt per JSON-LD – Amazon guenstigster high-confidence Treffer
Pos 6;Sony WH-1000XM5 Bluetooth Noise-Cancelling Kopfhoerer;3;success;pcgames.de;179,90;539,70;high;NEIN;179,90;188,71;194,95;4;pcgames.de = Redaktionsartikel; sicherere Option: Conrad 187,63 EUR mit EAN-Bestaetigung
Pos 7;Siemens 5SV1316-6KK16 FI/LS-Schalter 6kA Typ A 30mA B16;6;no_results;—;n/a;n/a;—;—;—;—;—;0;B2B-Fachhandel-Artikel – Anfrage bei Sonepar/Rexel/Siemens erforderlich
Pos 8;Gira 503800 Schalt-/Jalousieaktor 16fach 16A REG;2;no_results;—;n/a;n/a;—;—;—;—;—;0;B2B-Fachhandel-Artikel – Anfrage bei Sonepar/Rexel/Gira erforderlich
Pos 9;Merten MEG6921-0001 KNX Stellantrieb;4;success;voltus.de;173,28;693,12;high;AUSREISSER (statistisch);173,28;173,28;173,28;1;Einziger SKU-konformer Treffer – Ausreisser statistisch bedingt, Preis inhaltlich plausibel
Pos 10;ABB LK/S4.2 Linienkoppler KNX;2;success;Amazon.de;194,44;388,88;high;VERSIONSABWEICHUNG;99,90;165,95;194,44;4;3 guenstigere Treffer zeigen LK/S 4.1 (Vorgaengermodell) – Versionsunterschied vor Bestellung klaeren
